Pororo_ENGLISH1_1_ep1,1,There is a sea over the mountains covered by snow.
Pororo_ENGLISH1_1_ep1,1,A lot of trees are covered by snow on the mountains.
Pororo_ENGLISH1_1_ep1,1,There are a blue sea and mountains covered by snow.
Pororo_ENGLISH1_1_ep1,1,There are some trees on the mountain.
Pororo_ENGLISH1_1_ep1,1,There is a village in the forest covered by snow beside the sea. The sky is blue and clear.
Pororo_ENGLISH1_1_ep1,1,"Beside the sea, there are hills and trees, covered by the snow. There is a clear, blue sky above them."
Pororo_ENGLISH1_1_ep1,1,"There is a blue sky, deep blue sea and the horizon. There is a mountain covered with snow. There are some trees on the snowed ground."
Pororo_ENGLISH1_1_ep1,1,Small town in the forest is covered by snow all over the place.
Pororo_ENGLISH1_1_ep1,2,Pororo wears an aviator hat and goggles. Pororo is rolling a big snowball up to the hilltop. The hill is covered by snow. The sky is blue and clear.
Pororo_ENGLISH1_1_ep1,2,"A penguin named Pororo is rolling a snowball up to the hilltop. There is a sea beyond the land and hills that are covered by snow. Next to Pororo, there is a wooden house surrounded by trees."
Pororo_ENGLISH1_1_ep1,2,There is a mountain with trees covered with lots of snow. Pororo is rolling the snow ball.
Pororo_ENGLISH1_1_ep1,2,Pororo is rolling a snowball to top of the hill.
Pororo_ENGLISH1_1_ep1,3,Pororo is saying hello with smile. There is a big snowball on the hill covered by snow  beside Pororo. The sky is blue and clear.
Pororo_ENGLISH1_1_ep1,3,Pororo has a big snowball next to him. Pororo is saying something with a delightful smile.
Pororo_ENGLISH1_1_ep1,3,The sky is blue and the hill is covered with the snow.
Pororo_ENGLISH1_1_ep1,3,Pororo is wearing the goggles and aviation cap.
Pororo_ENGLISH1_1_ep1,3,Pororo is wearing the goggles and aviation cap.
Pororo_ENGLISH1_1_ep1,3,Pororo says hi and smiles.
Pororo_ENGLISH1_1_ep1,3,The sky is blue and the hill is covered with snow.
Pororo_ENGLISH1_1_ep1,3,Pororo is wearing the goggles and aviation cap. Pororo says hi and smiles. The sky is blue and the hill is covered with snow.
Pororo_ENGLISH1_1_ep1,3,Pororo wears orange glasses and a hat covering Pororo's ears.
Pororo_ENGLISH1_1_ep1,4,Pororo found a round thing under the trees. Pororo feels curious. Pororo starts to sweep off the snow around it.
Pororo_ENGLISH1_1_ep1,4,"At first, Pororo was starring at the sky. Then, Pororo suddenly jumped once at the spot where Pororo was standing. In front of him, there is a yellow spotted egg of which size is the one of Pororo's head."
Pororo_ENGLISH1_1_ep1,4,Pororo scratches Pororo's head and turns Pororo's head. Pororo finds the white eggs with yellow spots on and jumps into the snow.
Pororo_ENGLISH1_1_ep1,4,Pororo finds something round with spotted surface.
Pororo_ENGLISH1_1_ep1,5,Pororo sees a big egg with flecks of yellow under the trees. Pororo gets to know what it is. Pororo thinks with positive mind.
Pororo_ENGLISH1_1_ep1,5,"Pororo is talking while Pororo is looking at a yellow spotted egg. Then, as if Pororo started to wonder about something, Pororo turns to look at the sky."
Pororo_ENGLISH1_1_ep1,5,Pororo turns Pororo's head to the sky. There is a white egg with yellow spots on it. The sky is blue and clear.
Pororo_ENGLISH1_1_ep1,5,There is an egg as big as Pororo.
Pororo_ENGLISH1_1_ep1,6,Pororo gets to know something in front of a big egg with flecks of yellow under the trees.
Pororo_ENGLISH1_1_ep1,6,"It seems that Pororo just realized something that Pororo maybe has forgotten for a moment. In front of him, there is a yellow spotted egg. Then, a cozy place shows up. The floor and the wall of the room is made out of wood and there are several appliances arranged."
Pororo_ENGLISH1_1_ep1,6,Pororo is surprised looking at the yellow spotted egg and blinks Pororo's eyes. Pororo's house is made of wood.
Pororo_ENGLISH1_1_ep1,6,"Suddenly, a good idea struck pororo."
Pororo_ENGLISH1_1_ep1,7,The egg is hatched in Pororo's house. Green dinosaur Crong came out. Pororo gets surprised a little.
